escola_lista,escola_db,lista_total,lista_ativo,lista_inativo,db_total,db_ativo,db_inativo,diferenca_total,status
STS36693/22 - SEDUC UME PADRE LEONARDO NUNES,STS36693/22 - SEDUC UME PADRE LEONARDO NUNES,29,26,0,41,38,3,12,DIFERENÇA
STS36693/22 - SEDUC UME PADRE LÚCIO FLORO,STS36693/22 - SEDUC UME PADRE LÚCIO FLORO,34,34,0,33,33,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME PADRE WALDEMAR VALLE MARTINS,STS36693/22 - SEDUC UME PADRE WALDEMAR VALLE MARTINS,41,0,41,41,0,41,0,MATCH
STS36693/22 - SEDUC UME PADRE WALDEMAR VALLE MARTINS (PROVISÓRIO),STS36693/22 - SEDUC UME PADRE WALDEMAR VALLE MARTINS (PROVISÓRIO),8,8,0,2,2,0,-6,DIFERENÇA
STS36693/22 - SEDUC UME PEDRO II,STS36693/22 - SEDUC UME PEDRO II,45,37,0,41,34,7,-4,DIFERENÇA
STS36693/22 - SEDUC UME PREFEITO ESMERALDO TARQUÍNIO,STS36693/22 - SEDUC,16,0,16,24,23,1,8,DIFERENÇA
STS36693/22 - SEDUC UME PREFEITO OSWALDO JUSTO,STS36693/22 - SEDUC UME PREFEITO OSWALDO JUSTO,62,62,0,60,60,0,-2,DIFERENÇA
STS36693/22 - SEDUC UME PREFEITO PAULO GOMES BARBOSA,STS36693/22 - SEDUC UME PREFEITO PAULO GOMES BARBOSA,51,49,0,51,49,2,0,MATCH
STS36693/22 - SEDUC UME PROF ANTONIO DE OLIVEIRA PASSOS SOBRINHO,STS36693/22 - SEDUC UME PROF ANTONIO DE OLIVEIRA PASSOS SOBRINHO,21,12,0,20,11,9,-1,DIFERENÇA
STS36693/22 - SEDUC UME PROF ANTONIO DEMÓSTENES DE SOUZA BRITTO,STS36693/22 - SEDUC UME PROF ANTONIO DEMÓSTENES DE SOUZA BRITTO,19,19,0,1,1,0,-18,DIFERENÇA
STS36693/22 - SEDUC UME PROF AVELINO DA PAZ VIEIRA,STS36693/22 - SEDUC UME PROF AVELINO DA PAZ VIEIRA,45,44,0,2,2,0,-43,DIFERENÇA
STS36693/22 - SEDUC UME PROF FLORESTAN FERNANDES,STS36693/22 - SEDUC UME PROF FLORESTAN FERNANDES,28,26,0,27,25,2,-1,DIFERENÇA
STS36693/22 - SEDUC UME PROF FLORESTAN FERNANDES II,STS36693/22 - SEDUC UME PROF FLORESTAN FERNANDES II,52,52,0,13,13,0,-39,DIFERENÇA
STS36693/22 - SEDUC UME PROF JOÃO PAPA SOBRINHO,STS36693/22 - SEDUC UME PROF JOÃO PAPA SOBRINHO,50,48,0,50,48,2,0,MATCH
STS36693/22 - SEDUC UME PROF JOSÉ DE SÁ PORTO,STS36693/22 - SEDUC,23,23,0,24,23,1,1,DIFERENÇA
STS36693/22 - SEDUC UME PROF MÁRIO DE ALMEIDA ALCÂNTARA,STS36693/22 - SEDUC UME PROF MÁRIO DE ALMEIDA ALCÂNTARA,53,52,0,48,48,0,-5,DIFERENÇA
STS36693/22 - SEDUC UME PROF PEDRO CRESCENTI,STS36693/22 - SEDUC UME PROF PEDRO CRESCENTI,16,14,0,16,14,2,0,MATCH
STS36693/22 - SEDUC UME PROF WALDERY DE ALMEIDA,STS36693/22 - SEDUC UME PROF WALDERY DE ALMEIDA,35,33,0,35,33,2,0,MATCH
STS36693/22 - SEDUC UME PROFª CELY DE MOURA NEGRINI,STS36693/22 - SEDUC UME PROFª CELY DE MOURA NEGRINI,8,1,0,8,1,7,0,MATCH
STS36693/22 - SEDUC UME PROFª EMÍLIA MARIA REIS,STS36693/22 - SEDUC UME PROFª EMÍLIA MARIA REIS,22,22,0,20,20,0,-2,DIFERENÇA
STS36693/22 - SEDUC UME PROFª IVETA MESQUITA NOGUEIRA,STS36693/22 - SEDUC UME PROFª IVETA MESQUITA NOGUEIRA,21,21,0,21,21,0,0,MATCH
STS36693/22 - SEDUC UME PROFª MAGALI ALONSO,STS36693/22 - SEDUC UME PROFª MAGALI ALONSO,26,26,0,5,5,0,-21,DIFERENÇA
STS36693/22 - SEDUC UME PROFª MARIA CARMELITA PROOST VILLAÇA,STS36693/22 - SEDUC UME PROFª MARIA CARMELITA PROOST VILLAÇA,54,53,0,42,41,1,-12,DIFERENÇA
STS36693/22 - SEDUC UME PROFª MARIA DE LOURDES BORGES BERNAL,STS36693/22 - SEDUC UME PROFª MARIA DE LOURDES BORGES BERNAL,33,26,0,16,15,1,-17,DIFERENÇA
STS36693/22 - SEDUC UME PROFª MARIA HELENA ROXO,STS36693/22 - SEDUC UME PROFª MARIA HELENA ROXO,15,0,15,15,0,15,0,MATCH
STS36693/22 - SEDUC UME PROFª MARIA LUIZA ALONSO SILVA,STS36693/22 - SEDUC UME PROFª MARIA LUIZA ALONSO SILVA,26,21,0,26,21,5,0,MATCH
STS36693/22 - SEDUC UME PROFª MARIA LUIZA SIMÕES RIBEIRO,STS36693/22 - SEDUC UME PROFª MARIA LUIZA SIMÕES RIBEIRO,24,24,0,23,23,0,-1,DIFERENÇA
STS36693/22 - SEDUC UME PROFª THEREZINHA DE JESUS SIQUEIRA PIMENTEL,STS36693/22 - SEDUC UME PROFª THEREZINHA DE JESUS SIQUEIRA PIMENTEL,34,32,0,2,2,0,-32,DIFERENÇA
STS36693/22 - SEDUC UME REGINA ALTMAN,STS36693/22 - SEDUC UME REGINA ALTMAN,22,22,0,22,22,0,0,MATCH
STS36693/22 - SEDUC UME SANDRA CRISTINA TEIXEIRA DA GAMA,STS36693/22 - SEDUC UME SANDRA CRISTINA TEIXEIRA DA GAMA,17,17,0,13,13,0,-4,DIFERENÇA
STS36693/22 - SEDUC UME TEREZINHA MARIA CALÇADA BASTOS,STS36693/22 - SEDUC UME TEREZINHA MARIA CALÇADA BASTOS,15,15,0,12,12,0,-3,DIFERENÇA
STS36693/22 - SEDUC UME VEREADOR JOÃO IGNÁCIO DE SOUZA,STS36693/22 - SEDUC UME VEREADOR JOÃO IGNÁCIO DE SOUZA,13,13,0,13,13,0,0,MATCH
STS36693/22 - SEDUC UME VINTE E OITO DE FEVEREIRO,STS36693/22 - SEDUC UME VINTE E OITO DE FEVEREIRO,58,53,0,57,52,5,-1,DIFERENÇA
STS36693/22 - SEDUC UME YARA NASCIMENTO SANTINI,STS36693/22 - SEDUC UME YARA NASCIMENTO SANTINI,16,16,0,16,16,0,0,MATCH
STS36693/22 - VILA CRIATIVA SENIOR 50+,STS36693/22 - VILA CRIATIVA SENIOR 50+,5,5,0,5,5,0,0,MATCH
